record_id,orig_monthly,orig_total,injected_error_type
1,29.85,29.85,none
2,56.95,1889.5,none
3,53.85,108.15,none
4,42.3,1840.75,none
5,70.7,151.65,none
6,99.65,820.5,none
7,89.1,1949.4,none
8,29.75,301.9,none
9,104.8,3046.05,none
10,56.15,3487.95,none
11,49.95,587.45,none
12,18.95,326.8,none
13,100.35,5681.1,none
14,103.7,5036.3,none
15,105.5,2686.05,none
16,113.25,7895.15,none
17,20.65,1022.95,none
18,106.7,7382.25,none
19,55.2,528.35,none
20,90.05,1862.9,none
21,39.65,39.65,none
22,19.8,202.25,none
23,20.15,20.15,none
24,59.9,3505.1,none
25,59.6,2970.3,none
26,55.3,1530.6,none
27,99.35,4749.15,none
28,30.2,30.2,none
29,90.25,6369.45,none
30,64.7,1093.1,none
31,96.35,6766.95,none
32,95.5,181.65,none
33,66.15,1874.45,none
34,20.2,20.2,none
35,45.25,45.25,none
36,99.9,7251.7,none
37,69.7,316.9,none
38,74.8,3548.3,none
39,106.35,3549.25,none
40,97.85,1105.4,none
41,49.55,475.7,none
42,69.2,4872.35,none
43,20.75,418.25,none
44,79.85,4861.45,none
45,76.2,981.45,none
46,84.5,3906.7,none
47,49.25,97.0,none
48,80.65,144.15,none
49,79.75,4217.8,none
50,64.15,4254.1,none
51,90.25,3838.75,overbilled_monthly
52,99.1,1426.4,none
53,69.5,1752.65,none
54,80.65,633.3,none
55,74.85,4456.35,none
56,95.45,1752.55,none
57,99.65,6311.2,none
58,108.45,7076.35,none
59,24.95,894.3,none
60,107.5,7853.7,none
61,100.5,4707.1,none
62,89.9,5450.7,none
63,42.1,2962.0,none
64,54.4,957.1,none
65,94.4,857.25,none
66,75.3,244.1,none
67,78.9,3650.35,none
68,79.2,2497.2,none
69,20.15,930.9,none
70,79.85,887.35,none
71,49.05,49.05,none
72,20.4,1090.65,none
73,111.6,7099.0,none
74,24.25,1424.6,none
75,64.5,177.4,none
76,110.5,6139.5,none
77,55.65,2688.85,none
78,54.65,482.25,none
79,74.75,2111.3,none
80,25.9,1216.6,none
81,79.35,79.35,none
82,50.55,565.35,none
83,75.15,496.9,none
84,103.8,4327.5,none
85,20.15,973.35,none
86,99.3,918.75,none
87,62.15,2215.45,none
88,20.65,1057.0,none
89,19.95,927.1,none
90,33.75,1009.25,none
91,82.05,2570.2,none
92,74.7,74.7,none
93,84.0,5714.25,none
94,111.05,7107.0,none
95,100.9,7459.05,none
96,78.95,927.35,none
97,66.85,4748.7,none
98,21.05,113.85,none
99,21.0,1107.2,none
100,98.5,2514.5,none
101,20.2,20.2,none
102,19.45,19.45,none
103,95.0,3605.6,none
104,45.55,3027.25,none
105,110.0,7611.85,none
106,24.3,100.2,none
107,104.15,7303.05,none
108,30.15,927.65,none
109,94.35,3921.3,none
110,19.4,1363.25,none
111,96.75,5238.9,none
112,57.95,3042.25,none
113,91.65,3954.1,none
114,76.5,2868.15,none
115,54.6,3423.5,none
116,89.85,248.4,none
117,31.05,1126.35,none
118,100.25,1064.65,none
119,20.65,835.15,none
120,85.2,2151.6,none
121,99.8,5515.45,none
122,20.7,112.75,none
123,74.4,229.55,none
124,50.7,350.35,none
125,20.85,62.9,none
126,88.95,3027.65,none
127,78.05,2135.5,none
128,23.55,1723.95,none
129,19.75,19.75,none
130,56.45,3985.35,none
131,85.95,1215.65,none
132,58.6,1502.65,none
133,50.55,3260.1,none
134,35.45,35.45,none
135,44.35,81.25,none
136,25.7,1188.2,none
137,75.0,1778.5,none
138,20.2,1277.75,none
139,19.6,1170.55,none
140,70.45,70.45,none
141,88.05,6425.65,none
142,71.15,563.65,none
143,101.05,5971.25,none
144,84.3,5289.05,none
145,23.95,1756.2,none
146,99.05,6416.7,none
147,19.6,61.35,none
148,45.65,45.65,none
149,64.5,1929.95,none
150,69.5,1071.4,none
151,68.55,564.35,none
152,95.0,655.5,none
153,108.15,7930.55,none
154,86.1,5215.25,none
155,19.7,113.5,none
156,80.9,1152.8,none
157,84.15,1821.95,none
158,20.15,419.9,none
159,64.25,1024.0,overbilled_monthly
160,25.7,251.6,none
161,56.0,764.55,none
162,82.4,1592.35,none
163,69.7,135.2,none
164,73.9,3958.25,none
165,20.6,233.9,none
166,19.9,1363.45,none
167,70.9,273.0,none
168,89.05,6254.45,none
169,45.3,2651.2,none
170,20.4,321.4,none
171,84.25,3539.25,none
172,104.4,242.8,none
173,81.95,1181.75,none
174,94.85,5000.2,none
175,20.55,654.55,none
176,24.7,780.2,none
177,74.45,1145.7,none
178,76.45,503.6,none
179,105.35,1559.25,none
180,20.55,1252.0,none
181,29.95,29.95,none
182,45.3,45.3,none
183,84.5,662.65,none
184,74.75,2453.3,none
185,79.25,1111.65,none
186,24.8,24.8,none
187,51.8,1023.85,none
188,30.4,82.15,none
189,19.65,244.8,none
190,56.6,2379.1,none
191,71.9,3173.35,none
192,91.0,531.0,none
193,19.75,1375.4,none
194,109.7,8129.3,none
195,19.3,1192.7,none
196,96.55,1901.65,none
197,24.1,587.4,none
198,111.35,6519.75,none
199,112.25,8041.65,none
200,20.75,20.75,none
201,101.9,2681.15,none
202,80.05,1112.3,none
203,105.55,7405.5,none
204,78.3,1033.95,none
205,68.85,2958.95,none
206,79.95,2684.85,none
207,55.45,4179.2,none
208,79.9,79.9,none
209,106.6,1934.45,none
210,102.45,6654.1,none
211,46.0,84.5,none
212,25.25,25.25,none
213,19.75,1124.2,none
214,20.0,540.05,none
215,86.8,1975.85,zero_monthly
216,58.75,3437.45,none
217,45.25,3139.8,none
218,56.6,3789.2,none
219,84.2,5324.5,none
220,80.0,624.6,none
221,70.15,268.35,none
222,24.75,1836.9,none
223,20.2,20.2,none
224,50.05,179.35,none
225,19.35,219.35,none
226,50.6,1288.75,none
227,81.15,2545.75,none
228,55.2,55.2,none
229,89.9,2723.15,none
230,85.3,4107.25,none
231,108.0,5760.65,none
232,93.5,4747.5,none
233,84.6,84.6,none
234,20.25,1566.9,none
235,25.15,702.0,none
236,54.4,114.1,none
237,29.6,299.05,none
238,73.15,1305.95,none
239,95.0,1120.3,none
240,19.75,284.35,none
241,86.6,6350.5,none
242,109.2,7878.3,total_missing
243,74.7,3187.65,none
244,94.4,6126.15,none
245,54.8,731.3,none
246,75.35,273.4,none
247,65.0,2531.8,none
248,74.4,1074.3,none
249,48.55,48.55,none
250,99.0,4298.45,none
251,93.5,4619.55,none
252,70.4,147.15,none
253,40.2,40.2,none
254,83.7,2633.3,none
255,19.85,193.05,none
256,59.55,4103.9,none
257,115.1,7008.15,none
258,114.35,5791.1,none
259,44.6,80.55,none
260,45.0,1228.65,none
261,41.15,132.2,none
262,106.9,1364.3,none
263,89.85,4925.35,none
264,49.85,1520.1,none
265,113.3,5032.25,none
266,88.1,5526.75,none
267,24.9,1195.25,none
268,105.0,2007.25,none
269,19.35,1099.6,none
270,24.25,1732.95,none
271,94.45,1511.2,none
272,59.75,3450.15,none
273,24.8,24.8,none
274,107.05,2172.05,none
275,70.6,70.6,none
276,85.4,401.1,none
277,105.05,5624.85,none
278,64.95,1339.8,none
279,55.0,771.95,none
280,50.55,244.75,none
281,55.15,322.9,none
282,51.2,498.25,none
283,25.4,25.4,none
284,54.45,3687.75,none
285,95.15,1779.95,none
286,76.0,1783.6,none
287,44.35,927.15,none
288,70.0,70.0,none
289,74.5,606.55,none
290,44.85,435.4,none
291,76.1,1712.7,none
292,61.2,2021.2,none
293,86.8,1940.8,none
294,89.35,567.8,none
295,19.7,220.35,none
296,20.25,20.25,none
297,76.05,5436.45,none
298,100.8,3437.5,none
299,74.55,3015.75,none
300,73.6,73.6,none
301,64.9,1509.8,none
302,95.45,396.1,total_decimal_shift
303,90.4,356.65,none
304,60.3,4109.0,none
305,81.85,3141.7,none
306,24.8,1229.1,none
307,74.9,2303.35,none
308,75.55,2054.4,none
309,101.15,3741.85,none
310,78.75,3682.45,none
311,19.25,19.25,none
312,89.05,1886.25,none
313,115.05,4895.1,none
314,69.35,341.6,none
315,80.6,415.55,none
316,110.05,5686.4,none
317,19.9,1355.1,none
318,80.3,3058.65,none
319,93.15,2231.05,none
320,91.5,3236.35,none
321,82.45,4350.1,none
322,60.0,4264.0,none
323,44.8,44.8,none
324,48.6,422.3,none
325,60.05,4176.7,none
326,102.7,5138.1,none
327,82.9,880.05,none
328,70.35,139.05,none
329,35.9,973.65,none
330,82.65,1470.05,none
331,19.85,739.35,none
332,19.2,161.95,none
333,94.9,4422.95,none
334,73.85,511.25,none
335,80.6,155.8,none
336,75.8,5293.95,none
337,104.6,4759.85,none
338,88.15,6148.45,none
339,94.8,3565.65,none
340,103.4,6603.0,none
341,54.65,1830.1,none
342,85.75,6223.8,none
343,67.45,4508.65,none
344,20.5,1328.15,none
345,20.25,865.0,none
346,72.1,72.1,none
347,90.4,168.2,none
348,19.45,1303.5,none
349,44.95,996.85,none
350,97.0,6430.9,none
351,62.8,2278.75,none
352,44.6,681.4,none
353,89.15,574.35,none
354,84.8,371.9,none
355,41.9,840.1,none
356,80.25,846.0,none
357,54.1,889.0,none
358,105.25,6823.4,none
359,30.75,805.1,none
360,97.1,4016.75,none
361,20.2,83.75,none
362,98.8,3959.15,none
363,50.3,2878.55,none
364,20.55,945.7,none
365,75.9,1373.05,none
366,96.5,492.55,none
367,59.95,1406.0,none
368,19.15,19.15,none
369,98.65,6962.85,none
370,112.6,8126.65,none
371,20.6,690.25,none
372,85.65,181.5,none
373,35.75,830.8,none
374,99.75,5608.4,none
375,96.1,3646.8,none
376,85.1,3662.25,none
377,25.35,25.35,none
378,104.95,2566.5,none
379,89.65,5308.7,none
380,86.75,1410.25,none
381,86.2,3339.05,none
382,50.65,50.65,none
383,64.8,4732.35,none
384,90.85,90.85,none
385,108.1,5067.45,none
386,19.95,214.75,none
387,85.45,4874.7,none
388,54.75,2348.45,none
389,90.4,4063.0,none
390,44.0,44.0,none
391,95.6,2595.25,none
392,84.8,2309.55,none
393,44.3,89.3,none
394,19.9,367.55,none
395,95.05,3944.5,none
396,90.05,5965.95,none
397,109.9,3694.7,none
398,73.95,2524.45,none
399,54.6,1803.7,none
400,20.05,415.1,none
401,19.75,624.15,none
402,20.05,237.7,none
403,99.45,7007.6,none
404,55.9,3848.8,none
405,19.7,419.4,none
406,19.8,1468.75,none
407,95.4,5812.0,total_missing
408,93.95,2861.45,none
409,19.9,19.9,none
410,19.6,19.6,none
411,81.35,233.7,none
412,24.45,1066.15,none
413,74.95,2149.05,none
414,87.35,4473.0,none
415,70.65,3545.05,none
416,73.25,1195.75,none
417,98.7,6858.9,none
418,24.8,1024.7,none
419,83.3,1845.9,none
420,75.3,75.3,none
421,24.3,132.25,none
422,69.85,515.45,none
423,100.55,2830.45,none
424,25.7,1110.5,none
425,40.7,449.3,none
426,51.65,2838.55,none
427,105.1,5376.4,none
428,85.95,858.6,none
429,75.6,1395.05,none
430,58.25,3975.7,none
431,19.4,1182.55,none
432,65.2,4784.45,none
433,53.45,119.5,none
434,45.4,518.9,none
435,19.75,899.45,none
436,44.45,1183.8,none
437,20.85,720.05,none
438,114.05,8468.2,total_missing
439,89.85,3161.2,none
440,55.05,55.05,none
441,112.95,1882.55,none
442,101.55,5070.4,none
443,114.65,6049.5,none
444,64.8,1166.7,none
445,80.4,2937.65,none
446,105.9,6396.45,none
447,69.55,69.55,none
448,25.05,1270.25,none
449,94.75,759.55,none
450,105.5,7611.55,none
451,24.7,1642.75,none
452,69.75,1545.4,none
453,60.2,3582.4,none
454,81.05,2227.1,none
455,24.4,1417.9,none
456,104.15,2494.65,none
457,92.9,2768.35,none
458,80.8,2369.3,none
459,20.0,38.0,none
460,75.1,75.1,none
461,19.65,100.9,none
462,69.45,1614.05,none
463,101.15,385.9,none
464,99.8,673.25,none
465,116.05,8404.9,none
466,40.05,2799.75,none
467,102.1,6538.45,total_decimal_shift
468,89.7,6588.95,none
469,19.9,868.1,none
470,55.95,734.35,none
471,20.65,330.6,none
472,55.0,55.0,none
473,70.05,564.4,none
474,53.6,1315.35,none
475,74.7,74.7,none
476,80.25,1861.5,none
477,76.05,2747.2,none
478,75.7,554.05,none
479,96.1,453.4,none
480,69.0,994.8,none
481,19.65,225.75,none
482,45.3,2145.0,none
483,81.45,1671.6,none
484,108.5,8003.8,none
485,83.55,680.05,none
486,84.5,6130.85,none
487,100.15,1415.0,none
488,88.6,6201.95,none
489,52.55,0.0,none
490,74.35,74.35,none
491,104.8,6597.25,none
492,59.0,114.15,none
493,74.4,139.4,none
494,64.05,3902.6,none
495,20.4,20.4,none
496,43.75,903.6,none
497,60.9,1785.65,none
498,19.8,1397.65,none
499,28.45,131.05,none
500,99.7,1238.45,none
501,116.25,3899.05,none
502,80.7,5676.0,none
503,65.2,4543.15,none
504,84.05,4326.8,none
505,79.45,5502.55,none
506,94.1,1782.4,none
507,78.0,851.8,none
508,94.2,167.5,none
509,80.5,502.85,none
510,19.85,19.85,none
511,94.3,1818.3,none
512,106.45,6300.15,none
513,74.35,334.8,none
514,105.45,5916.95,none
515,95.0,2852.4,none
516,104.8,4131.95,none
517,54.3,1546.3,none
518,70.05,302.6,none
519,75.2,1929.35,none
520,20.05,265.45,none
521,105.4,6989.45,none
522,51.6,1442.0,none
523,85.5,4713.4,none
524,75.6,1758.6,none
525,100.05,3480.0,none
526,91.25,4738.3,none
527,115.75,8399.15,none
528,94.7,5430.35,total_decimal_shift
529,19.6,686.95,none
530,99.9,5706.3,none
531,21.1,490.65,none
532,20.05,1360.25,none
533,79.95,174.45,none
534,107.15,7379.8,none
535,85.0,85.0,none
536,89.55,1021.75,none
537,81.55,5029.05,none
538,58.45,1955.4,none
539,95.65,6744.2,none
540,80.6,4946.7,none
541,113.1,8248.5,none
542,58.95,601.6,none
543,19.55,19.55,none
544,86.05,834.1,none
545,45.55,597.0,none
546,78.95,2647.2,none
547,86.3,3266.0,none
548,105.05,6744.25,none
549,101.9,5265.5,none
550,19.75,311.6,none
551,110.3,7966.9,none
552,115.6,8220.4,zero_monthly
553,19.35,1153.25,none
554,25.6,514.75,none
