record_id,customerID,primary_rule,rules_fired,severity,exposure,tenure,MonthlyCharges,expected_monthly,TotalCharges,Contract,PaymentMethod
4266,2632-UCGVD,total_variance,total_variance,HIGH,62115.7,66,100.05,99.93,68719.0,Month-to-month,Credit card (automatic)
831,9101-BWFSS,total_variance,total_variance,HIGH,50679.5,50,108.55,109.94,56107.0,One year,Electronic check
4627,0929-PECLO,total_variance,total_variance,HIGH,49743.2,63,89.6,89.95,55388.0,Month-to-month,Bank transfer (automatic)
1927,6651-AZVTJ,total_variance,total_variance,HIGH,43834.3,49,99.8,99.91,48724.5,Month-to-month,Electronic check
4883,8404-VIOMB,total_variance,total_variance,HIGH,37239.0,66,62.5,64.93,41364.0,Two year,Bank transfer (automatic)
1858,9359-JANWS,total_variance,total_variance,HIGH,34742.5,65,58.9,60.04,38571.0,Two year,Credit card (automatic)
2119,9779-DPNEJ,total_variance,total_variance,HIGH,16143.2,22,80.15,79.95,17906.5,Month-to-month,Electronic check
5493,2799-TSLAG,total_variance,total_variance,HIGH,15841.0,65,25.3,24.96,17485.5,Two year,Bank transfer (automatic)
3214,4032-RMHCI,total_variance,total_variance,HIGH,12672.6,41,35.4,34.97,14124.0,One year,Credit card (automatic)
2544,0952-KMEEH,total_variance,total_variance,HIGH,11026.55,13,98.15,99.92,12302.5,Month-to-month,Mailed check
438,4376-KFVRS,total_missing,total_missing,HIGH,8211.6,72,114.05,114.94,,Two year,Credit card (automatic)
242,6614-FHDBO,total_missing,total_missing,HIGH,7862.4,72,109.2,109.93,,Two year,Bank transfer (automatic)
3953,9861-PDSZP,total_missing,total_missing,HIGH,7779.6,72,108.05,109.93,,Two year,Credit card (automatic)
6409,5748-RNCJT,total_missing,total_missing,HIGH,7348.5,69,106.5,104.92,,Two year,Bank transfer (automatic)
5290,3642-GKTCT,total_missing,total_missing,HIGH,7021.1,61,115.1,114.94,,One year,Mailed check
3857,6710-HSJRD,total_missing,"total_missing,rate_mismatch",HIGH,6960.1,61,114.1,109.93,,Month-to-month,Electronic check
884,3199-NPKCN,total_variance,total_variance,HIGH,6702.59,67,111.25,109.93,751.16,One year,Electronic check
2283,1587-FKLZB,total_missing,total_missing,HIGH,6567.0,66,99.5,99.91,,Month-to-month,Credit card (automatic)
633,1775-KWJKQ,total_missing,total_missing,HIGH,6469.2,72,89.85,89.98,,Two year,Credit card (automatic)
2529,4277-PVRAN,total_variance,total_variance,HIGH,6152.2,8,80.1,79.94,6793.0,Month-to-month,Bank transfer (automatic)
6672,5090-EMGTC,total_missing,total_missing,HIGH,5902.95,59,100.05,99.94,,Two year,Mailed check
467,9076-AXYIK,total_variance,total_variance,HIGH,5880.56,64,102.1,104.92,653.84,Two year,Electronic check
6966,7789-CRUVC,total_missing,total_missing,HIGH,5746.2,61,94.2,95.0,,Month-to-month,Credit card (automatic)
407,4742-DRORA,total_missing,total_missing,HIGH,5724.0,60,95.4,94.94,,One year,Bank transfer (automatic)
898,0678-RLHVP,total_missing,total_missing,HIGH,5594.15,53,105.55,104.92,,Two year,Electronic check
3241,8849-GYOKR,total_variance,total_variance,HIGH,5177.37,54,106.55,104.93,576.33,One year,Bank transfer (automatic)
2577,1074-AMIOH,total_variance,total_variance,HIGH,5143.74,53,108.25,104.94,593.51,Month-to-month,Bank transfer (automatic)
1874,0973-KYVNF,total_missing,total_missing,HIGH,5086.8,72,70.65,69.99,,Two year,Credit card (automatic)
3132,8336-TAVKX,total_variance,total_variance,HIGH,5080.18,72,78.45,80.02,568.22,Two year,Bank transfer (automatic)
528,3571-DPYUH,total_variance,total_variance,HIGH,4949.56,58,94.7,94.96,543.04,One year,Credit card (automatic)
3429,8749-JMNKX,total_missing,total_missing,HIGH,4783.8,51,93.8,94.94,,Month-to-month,Bank transfer (automatic)
1254,2026-TGDHM,total_variance,total_variance,HIGH,4676.4,7,79.3,79.95,5231.5,Month-to-month,Electronic check
2385,2573-GYRUU,total_missing,total_missing,HIGH,4370.4,48,91.05,89.95,,Month-to-month,Credit card (automatic)
1571,3070-FNFZQ,total_variance,total_variance,HIGH,4318.3,23,20.4,19.96,4787.5,Two year,Bank transfer (automatic)
