k_total,k_rate,flagged,tp,fp,fn,precision,recall,f1
3,2,1075,211,864,0,0.196,1.0,0.328
3,3,772,211,561,0,0.273,1.0,0.429
3,4,682,211,471,0,0.309,1.0,0.473
3,5,673,211,462,0,0.314,1.0,0.477
3,6,671,211,460,0,0.314,1.0,0.478
6,2,709,211,498,0,0.298,1.0,0.459
6,3,397,210,187,1,0.529,0.995,0.691
6,4,304,208,96,3,0.684,0.986,0.808
6,5,295,208,87,3,0.705,0.986,0.822
6,6,292,207,85,4,0.709,0.981,0.823
10,2,635,211,424,0,0.332,1.0,0.499
10,3,323,210,113,1,0.65,0.995,0.787
10,4,230,208,22,3,0.904,0.986,0.943
10,5,220,207,13,4,0.941,0.981,0.961
10,6,216,205,11,6,0.949,0.972,0.96
